Texture,Perimeter,Area,Compactness,Concavity,Concave points,Symmetry,Fractal dimension
10.38,122.8,1001.0,0.2776,0.3001,0.1471,0.2419,0.07871
17.77,132.9,1326.0,0.07864,0.0869,0.07017,0.1812,0.05667
21.25,130.0,1203.0,0.1599,0.1974,0.1279,0.2069,0.05999
20.38,77.58,386.1,0.2839,0.2414,0.1052,0.2597,0.09744
14.34,135.1,1297.0,0.1328,0.198,0.1043,0.1809,0.05883
15.7,82.57,477.1,0.17,0.1578,0.08089,0.2087,0.07613
19.98,119.6,1040.0,0.109,0.1127,0.074,0.1794,0.05742
20.83,90.2,577.9,0.1645,0.09366,0.05985,0.2196,0.07451
21.82,87.5,519.8,0.1932,0.1859,0.09353,0.235,0.07389
24.04,83.97,475.9,0.2396,0.2273,0.08543,0.203,0.08243
23.24,102.7,797.8,0.06669,0.03299,0.03323,0.1528,0.05697
17.89,103.6,781.0,0.1292,0.09954,0.06606,0.1842,0.06082
24.8,132.4,1123.0,0.2458,0.2065,0.1118,0.2397,0.078
23.95,103.7,782.7,0.1002,0.09938,0.05364,0.1847,0.05338
22.61,93.6,578.3,0.2293,0.2128,0.08025,0.2069,0.07682
27.54,96.73,658.8,0.1595,0.1639,0.07364,0.2303,0.07077
20.13,94.74,684.5,0.072,0.07395,0.05259,0.1586,0.05922
20.68,108.1,798.8,0.2022,0.1722,0.1028,0.2164,0.07356
22.15,130.0,1260.0,0.1027,0.1479,0.09498,0.1582,0.05395
14.36,87.46,566.3,0.08129,0.06664,0.04781,0.1885,0.05766
15.71,85.63,520.0,0.127,0.04568,0.0311,0.1967,0.06811
12.44,60.34,273.9,0.06492,0.02956,0.02076,0.1815,0.06905
14.26,102.5,704.4,0.2135,0.2077,0.09756,0.2521,0.07032
23.04,137.2,1404.0,0.1022,0.1097,0.08632,0.1769,0.05278
21.38,110.0,904.6,0.1457,0.1525,0.0917,0.1995,0.0633
16.4,116.0,912.7,0.2276,0.2229,0.1401,0.304,0.07413
21.53,97.41,644.8,0.1868,0.1425,0.08783,0.2252,0.06924
20.25,122.1,1094.0,0.1066,0.149,0.07731,0.1697,0.05699
25.27,102.4,732.4,0.1697,0.1683,0.08751,0.1926,0.0654
15.05,115.0,955.1,0.1157,0.09875,0.07953,0.1739,0.06149
25.11,124.8,1088.0,0.1887,0.2319,0.1244,0.2183,0.06197
18.7,77.93,440.6,0.1516,0.1218,0.05182,0.2301,0.07799
23.98,112.8,899.3,0.1496,0.2417,0.1203,0.2248,0.06382
26.47,127.9,1162.0,0.1719,0.1657,0.07593,0.1853,0.06261
17.88,107.0,807.2,0.1559,0.1354,0.07752,0.1998,0.06515
21.59,110.1,869.5,0.1336,0.1348,0.06018,0.1896,0.05656
21.72,93.63,633.0,0.1098,0.1319,0.05598,0.1885,0.06125
18.42,82.61,523.8,0.03766,0.02562,0.02923,0.1467,0.05863
25.2,95.54,698.8,0.05131,0.02398,0.02899,0.1565,0.05504
20.82,88.4,559.2,0.1255,0.1063,0.05439,0.172,0.06419
21.58,86.18,563.0,0.06031,0.0311,0.02031,0.1784,0.05587
21.35,71.9,371.1,0.1218,0.1044,0.05669,0.1895,0.0687
24.81,128.3,1104.0,0.219,0.2107,0.09961,0.231,0.06343
20.28,87.32,545.2,0.1436,0.09847,0.06158,0.1974,0.06782
21.81,85.42,531.5,0.1047,0.08259,0.05252,0.1746,0.06177
17.6,123.7,1076.0,0.1686,0.1974,0.1009,0.1907,0.06049
16.84,51.71,201.9,0.05943,0.01588,0.005917,0.1769,0.06503
18.66,85.98,534.6,0.1231,0.1226,0.0734,0.2128,0.06777
14.63,78.04,449.3,0.09092,0.06592,0.02749,0.1675,0.06043
22.3,86.91,561.0,0.07698,0.04751,0.03384,0.1809,0.05718
21.6,74.72,427.9,0.04966,0.01657,0.01115,0.1495,0.05888
16.34,87.21,571.8,0.06059,0.01857,0.01723,0.1353,0.05953
18.24,75.71,437.6,0.04751,0.01972,0.01349,0.1868,0.0611
18.7,120.3,1033.0,0.1485,0.1772,0.106,0.2092,0.0631
22.02,97.26,712.8,0.07081,0.05253,0.03334,0.1616,0.05684
18.75,73.34,409.0,0.05473,0.03036,0.02278,0.192,0.05907
18.57,125.5,1152.0,0.1267,0.1323,0.08994,0.1917,0.05961
21.59,95.55,656.9,0.1365,0.1293,0.08123,0.2027,0.06758
19.31,82.61,527.2,0.03789,0.000692,0.004167,0.1819,0.05501
11.79,54.34,224.5,0.05272,0.02061,0.007799,0.1683,0.07187
14.88,64.55,311.9,0.08061,0.01084,0.0129,0.2743,0.0696
20.98,54.66,221.8,0.08963,0.03,0.009259,0.1828,0.06757
22.15,96.42,645.7,0.2008,0.2135,0.08653,0.1949,0.07292
13.86,59.2,260.9,0.08751,0.05988,0.0218,0.2341,0.06963
23.84,82.69,499.0,0.1262,0.1128,0.06873,0.1905,0.0659
23.94,97.4,668.3,0.1479,0.1267,0.09029,0.1953,0.06654
21.01,60.11,269.4,0.07773,0.02172,0.01504,0.1717,0.06899
19.04,71.8,394.1,0.04701,0.03709,0.0223,0.1516,0.05667
17.33,58.79,250.5,0.1413,0.313,0.04375,0.2111,0.08046
16.49,81.37,502.5,0.05234,0.03653,0.02864,0.159,0.05653
21.31,123.6,1130.0,0.1029,0.108,0.07951,0.1582,0.05461
14.64,58.79,244.0,0.1531,0.08606,0.02872,0.1902,0.0898
24.52,114.2,929.4,0.183,0.1692,0.07944,0.1927,0.06487
15.79,90.43,584.1,0.128,0.07789,0.05069,0.1662,0.06566
16.52,79.19,470.9,0.06829,0.03372,0.02272,0.172,0.05914
19.65,104.1,817.7,0.08424,0.09769,0.06638,0.1798,0.05391
10.94,87.91,559.2,0.1047,0.06877,0.06556,0.2403,0.06641
16.15,120.2,1006.0,0.2146,0.1684,0.108,0.2152,0.06673
23.97,143.7,1245.0,0.3454,0.3754,0.1604,0.2906,0.08142
18.0,83.19,506.3,0.09546,0.03889,0.02315,0.1718,0.05997
20.97,73.81,401.5,0.09362,0.04591,0.02233,0.1842,0.07005
15.86,86.49,520.0,0.1535,0.1169,0.06987,0.1942,0.06902
24.91,171.5,1878.0,0.2665,0.3339,0.1845,0.1829,0.06782
26.29,129.1,1132.0,0.1791,0.1937,0.1469,0.1634,0.07224
15.65,76.95,443.3,0.07165,0.04151,0.01863,0.2079,0.05968
18.52,121.1,1075.0,0.1053,0.1335,0.08795,0.2132,0.06022
21.46,94.25,648.2,0.09947,0.1204,0.04938,0.2075,0.05636
24.59,122.0,1076.0,0.1206,0.1468,0.08271,0.1953,0.05629
21.8,79.78,466.1,0.09445,0.06015,0.03745,0.193,0.06404
15.24,95.77,651.9,0.1339,0.09966,0.07064,0.2116,0.06346
24.02,94.57,662.7,0.08606,0.03102,0.02957,0.1685,0.05866
22.76,100.2,728.2,0.1036,0.1122,0.07483,0.1717,0.06097
14.76,84.74,551.7,0.05055,0.03261,0.02648,0.1386,0.05318
